feature_code,date_code,units,value,region_of_residence,breakdown_of_domestic_tourism,local_authority
S12000039,2016-2018,million pounds (GBP),8,England,Expenditure,West Dunbartonshire
S12000039,2015-2017,Thousand Nights,140,All of GB,Nights,West Dunbartonshire
S12000039,2015-2017,million pounds (GBP),8,England,Expenditure,West Dunbartonshire
S12000039,2017-2019,Thousand Nights,76,England,Nights,West Dunbartonshire
S12000039,2009-2011,Thousand Visits,68,Scotland,Visits,West Dunbartonshire
S12000039,2016-2018,Thousand Nights,59,Scotland,Nights,West Dunbartonshire
S12000039,2016-2018,million pounds (GBP),4,Scotland,Expenditure,West Dunbartonshire
S12000039,2013-2015,Thousand Visits,32,Scotland,Visits,West Dunbartonshire
S12000039,2012-2014,million pounds (GBP),6,England,Expenditure,West Dunbartonshire
S12000039,2015-2017,Thousand Visits,28,England,Visits,West Dunbartonshire
S12000039,2010-2012,Thousand Visits,27,England,Visits,West Dunbartonshire
S12000039,2009-2011,million pounds (GBP),3,England,Expenditure,West Dunbartonshire
S12000039,2010-2012,million pounds (GBP),13,Scotland,Expenditure,West Dunbartonshire
S12000039,2012-2014,Thousand Visits,67,All of GB,Visits,West Dunbartonshire
S12000039,2010-2012,Thousand Nights,183,Scotland,Nights,West Dunbartonshire
S12000039,2011-2013,million pounds (GBP),16,All of GB,Expenditure,West Dunbartonshire
S12000039,2013-2015,Thousand Nights,49,Scotland,Nights,West Dunbartonshire
S12000039,2011-2013,Thousand Visits,44,Scotland,Visits,West Dunbartonshire
S12000039,2014-2016,million pounds (GBP),9,England,Expenditure,West Dunbartonshire
S12000039,2017-2019,Thousand Visits,70,All of GB,Visits,West Dunbartonshire
S12000039,2016-2018,Thousand Nights,144,All of GB,Nights,West Dunbartonshire
S12000039,2016-2018,Thousand Visits,28,England,Visits,West Dunbartonshire
S12000039,2013-2015,Thousand Visits,61,All of GB,Visits,West Dunbartonshire
S12000039,2015-2017,Thousand Nights,58,Scotland,Nights,West Dunbartonshire
S12000039,2011-2013,Thousand Visits,29,England,Visits,West Dunbartonshire
S12000039,2016-2018,Thousand Visits,28,Scotland,Visits,West Dunbartonshire
S12000039,2017-2019,million pounds (GBP),4,Scotland,Expenditure,West Dunbartonshire
S12000039,2015-2017,Thousand Visits,64,All of GB,Visits,West Dunbartonshire
S12000039,2011-2013,million pounds (GBP),4,England,Expenditure,West Dunbartonshire
S12000039,2013-2015,million pounds (GBP),4,England,Expenditure,West Dunbartonshire
S12000039,2014-2016,Thousand Visits,28,Scotland,Visits,West Dunbartonshire
S12000039,2014-2016,Thousand Nights,128,All of GB,Nights,West Dunbartonshire
S12000039,2017-2019,Thousand Nights,98,Scotland,Nights,West Dunbartonshire
S12000039,2009-2011,Thousand Nights,153,Scotland,Nights,West Dunbartonshire
S12000039,2017-2019,Thousand Visits,22,England,Visits,West Dunbartonshire
S12000039,2013-2015,Thousand Nights,64,England,Nights,West Dunbartonshire
S12000039,2012-2014,million pounds (GBP),2,Scotland,Expenditure,West Dunbartonshire
S12000039,2009-2011,Thousand Visits,96,All of GB,Visits,West Dunbartonshire
S12000039,2011-2013,Thousand Nights,256,All of GB,Nights,West Dunbartonshire
S12000039,2012-2014,Thousand Nights,90,England,Nights,West Dunbartonshire
S12000039,2009-2011,Thousand Nights,318,All of GB,Nights,West Dunbartonshire
S12000039,2015-2017,million pounds (GBP),4,Scotland,Expenditure,West Dunbartonshire
S12000039,2014-2016,Thousand Visits,64,All of GB,Visits,West Dunbartonshire
S12000039,2009-2011,Thousand Nights,110,England,Nights,West Dunbartonshire
S12000039,2010-2012,Thousand Visits,92,All of GB,Visits,West Dunbartonshire
S12000039,2010-2012,Thousand Visits,59,Scotland,Visits,West Dunbartonshire
S12000039,2010-2012,million pounds (GBP),19,All of GB,Expenditure,West Dunbartonshire
S12000039,2011-2013,Thousand Visits,81,All of GB,Visits,West Dunbartonshire
S12000039,2012-2014,Thousand Visits,26,Scotland,Visits,West Dunbartonshire
S12000039,2017-2019,million pounds (GBP),11,England,Expenditure,West Dunbartonshire
S12000039,2013-2015,Thousand Visits,27,England,Visits,West Dunbartonshire
S12000039,2013-2015,Thousand Nights,118,All of GB,Nights,West Dunbartonshire
S12000039,2016-2018,million pounds (GBP),12,All of GB,Expenditure,West Dunbartonshire
S12000039,2015-2017,Thousand Visits,36,Scotland,Visits,West Dunbartonshire
S12000039,2014-2016,Thousand Nights,40,Scotland,Nights,West Dunbartonshire
S12000039,2013-2015,million pounds (GBP),3,Scotland,Expenditure,West Dunbartonshire
S12000039,2016-2018,Thousand Visits,56,All of GB,Visits,West Dunbartonshire
S12000039,2010-2012,Thousand Nights,84,England,Nights,West Dunbartonshire
S12000039,2015-2017,Thousand Nights,82,England,Nights,West Dunbartonshire
S12000039,2010-2012,million pounds (GBP),4,England,Expenditure,West Dunbartonshire
S12000039,2012-2014,million pounds (GBP),10,All of GB,Expenditure,West Dunbartonshire
S12000039,2011-2013,Thousand Nights,81,England,Nights,West Dunbartonshire
