date_code,units,value,tourism_activity,breakdown_of_domestic_tourism
2019,million pounds (GBP),1662,Shopping for items that you do not regularly buy,Expenditure
2016,million pounds (GBP),469,Watched live sporting events (not on TV),Expenditure
2014,million pounds (GBP),892,"Night out to a bar, pub and/or club",Expenditure
2017,million pounds (GBP),354,"Special personal events e.g. wedding, graduation",Expenditure
2015,million pounds (GBP),400,Watched live sporting events (not on TV),Expenditure
2014,million pounds (GBP),421,Watched live sporting events (not on TV),Expenditure
2013,million pounds (GBP),243,Watched live sporting events (not on TV),Expenditure
2015,million pounds (GBP),264,Leisure activities e.g. hobbies & evening classes,Expenditure
2018,million pounds (GBP),285,Leisure activities e.g. hobbies & evening classes,Expenditure
2014,million pounds (GBP),1536,Shopping for items that you do not regularly buy,Expenditure
2018,million pounds (GBP),265,"Special personal events e.g. wedding, graduation",Expenditure
2016,million pounds (GBP),261,Leisure activities e.g. hobbies & evening classes,Expenditure
2017,million pounds (GBP),421,Leisure activities e.g. hobbies & evening classes,Expenditure
2014,million pounds (GBP),469,Leisure activities e.g. hobbies & evening classes,Expenditure
2019,million pounds (GBP),476,"Sport participation, e.g. exercise classes, gym",Expenditure
2017,million pounds (GBP),374,"Sport participation, e.g. exercise classes, gym",Expenditure
2015,million pounds (GBP),392,"Special public event e.g. festival, exhibition",Expenditure
2019,million pounds (GBP),629,"Special public event e.g. festival, exhibition",Expenditure
2014,million pounds (GBP),311,"Special public event e.g. festival, exhibition",Expenditure
2016,million pounds (GBP),205,"Special public event e.g. festival, exhibition",Expenditure
2017,million pounds (GBP),394,"Special public event e.g. festival, exhibition",Expenditure
2016,million pounds (GBP),1892,Went out for a meal,Expenditure
2014,million pounds (GBP),1966,Went out for a meal,Expenditure
2017,million pounds (GBP),551,Watched live sporting events (not on TV),Expenditure
2013,million pounds (GBP),1675,Went out for a meal,Expenditure
2019,million pounds (GBP),551,Watched live sporting events (not on TV),Expenditure
2013,million pounds (GBP),228,"Special public event e.g. festival, exhibition",Expenditure
2018,million pounds (GBP),496,Watched live sporting events (not on TV),Expenditure
