FeatureCode,DateCode,Measurement,Units,Value,Region of Residence,Breakdown of Domestic Tourism
S12000039,2016-2018,Count,million pounds (GBP),8,England,Expenditure
S12000039,2015-2017,Count,Thousand Nights,140,All of GB,Nights
S12000039,2015-2017,Count,million pounds (GBP),8,England,Expenditure
S12000039,2017-2019,Count,Thousand Nights,76,England,Nights
S12000039,2009-2011,Count,Thousand Visits,68,Scotland,Visits
S12000039,2016-2018,Count,Thousand Nights,59,Scotland,Nights
S12000039,2016-2018,Count,million pounds (GBP),4,Scotland,Expenditure
S12000039,2013-2015,Count,Thousand Visits,32,Scotland,Visits
S12000039,2012-2014,Count,million pounds (GBP),6,England,Expenditure
S12000039,2015-2017,Count,Thousand Visits,28,England,Visits
S12000039,2010-2012,Count,Thousand Visits,27,England,Visits
S12000039,2009-2011,Count,million pounds (GBP),3,England,Expenditure
S12000039,2010-2012,Count,million pounds (GBP),13,Scotland,Expenditure
S12000039,2012-2014,Count,Thousand Visits,67,All of GB,Visits
S12000039,2010-2012,Count,Thousand Nights,183,Scotland,Nights
S12000039,2011-2013,Count,million pounds (GBP),16,All of GB,Expenditure
S12000039,2013-2015,Count,Thousand Nights,49,Scotland,Nights
S12000039,2011-2013,Count,Thousand Visits,44,Scotland,Visits
S12000039,2014-2016,Count,million pounds (GBP),9,England,Expenditure
S12000039,2017-2019,Count,Thousand Visits,70,All of GB,Visits
S12000039,2016-2018,Count,Thousand Nights,144,All of GB,Nights
S12000039,2016-2018,Count,Thousand Visits,28,England,Visits
S12000039,2013-2015,Count,Thousand Visits,61,All of GB,Visits
S12000039,2015-2017,Count,Thousand Nights,58,Scotland,Nights
S12000039,2011-2013,Count,Thousand Visits,29,England,Visits
S12000039,2016-2018,Count,Thousand Visits,28,Scotland,Visits
S12000039,2017-2019,Count,million pounds (GBP),4,Scotland,Expenditure
S12000039,2015-2017,Count,Thousand Visits,64,All of GB,Visits
S12000039,2011-2013,Count,million pounds (GBP),4,England,Expenditure
S12000039,2013-2015,Count,million pounds (GBP),4,England,Expenditure
S12000039,2014-2016,Count,Thousand Visits,28,Scotland,Visits
S12000039,2014-2016,Count,Thousand Nights,128,All of GB,Nights
S12000039,2017-2019,Count,Thousand Nights,98,Scotland,Nights
S12000039,2009-2011,Count,Thousand Nights,153,Scotland,Nights
S12000039,2017-2019,Count,Thousand Visits,22,England,Visits
S12000039,2013-2015,Count,Thousand Nights,64,England,Nights
S12000039,2012-2014,Count,million pounds (GBP),2,Scotland,Expenditure
S12000039,2009-2011,Count,Thousand Visits,96,All of GB,Visits
S12000039,2011-2013,Count,Thousand Nights,256,All of GB,Nights
S12000039,2012-2014,Count,Thousand Nights,90,England,Nights
S12000039,2009-2011,Count,Thousand Nights,318,All of GB,Nights
S12000039,2015-2017,Count,million pounds (GBP),4,Scotland,Expenditure
S12000039,2014-2016,Count,Thousand Visits,64,All of GB,Visits
S12000039,2009-2011,Count,Thousand Nights,110,England,Nights
S12000039,2010-2012,Count,Thousand Visits,92,All of GB,Visits
S12000039,2010-2012,Count,Thousand Visits,59,Scotland,Visits
S12000039,2010-2012,Count,million pounds (GBP),19,All of GB,Expenditure
S12000039,2011-2013,Count,Thousand Visits,81,All of GB,Visits
S12000039,2012-2014,Count,Thousand Visits,26,Scotland,Visits
S12000039,2017-2019,Count,million pounds (GBP),11,England,Expenditure
S12000039,2013-2015,Count,Thousand Visits,27,England,Visits
S12000039,2013-2015,Count,Thousand Nights,118,All of GB,Nights
S12000039,2016-2018,Count,million pounds (GBP),12,All of GB,Expenditure
S12000039,2015-2017,Count,Thousand Visits,36,Scotland,Visits
S12000039,2014-2016,Count,Thousand Nights,40,Scotland,Nights
S12000039,2013-2015,Count,million pounds (GBP),3,Scotland,Expenditure
S12000039,2016-2018,Count,Thousand Visits,56,All of GB,Visits
S12000039,2010-2012,Count,Thousand Nights,84,England,Nights
S12000039,2015-2017,Count,Thousand Nights,82,England,Nights
S12000039,2010-2012,Count,million pounds (GBP),4,England,Expenditure
S12000039,2012-2014,Count,million pounds (GBP),10,All of GB,Expenditure
S12000039,2011-2013,Count,Thousand Nights,81,England,Nights
S12000039,2011-2013,Count,Thousand Nights,161,Scotland,Nights
S12000039,2010-2012,Count,Thousand Nights,273,All of GB,Nights
S12000039,2009-2011,Count,Thousand Visits,24,England,Visits
S12000039,2012-2014,Count,Thousand Nights,91,Scotland,Nights
S12000039,2013-2015,Count,million pounds (GBP),8,All of GB,Expenditure
S12000039,2009-2011,Count,million pounds (GBP),14,Scotland,Expenditure
S12000039,2014-2016,Count,Thousand Visits,36,England,Visits
S12000039,2017-2019,Count,million pounds (GBP),15,All of GB,Expenditure
S12000039,2011-2013,Count,million pounds (GBP),9,Scotland,Expenditure
S12000039,2015-2017,Count,million pounds (GBP),13,All of GB,Expenditure
S12000039,2017-2019,Count,Thousand Visits,48,Scotland,Visits
S12000039,2017-2019,Count,Thousand Nights,174,All of GB,Nights
S12000039,2014-2016,Count,Thousand Nights,91,England,Nights
S12000039,2012-2014,Count,Thousand Visits,32,England,Visits
S12000039,2014-2016,Count,million pounds (GBP),12,All of GB,Expenditure
S12000039,2009-2011,Count,million pounds (GBP),19,All of GB,Expenditure
S12000039,2016-2018,Count,Thousand Nights,84,England,Nights
S12000039,2014-2016,Count,million pounds (GBP),3,Scotland,Expenditure
S12000039,2012-2014,Count,Thousand Nights,192,All of GB,Nights
S12000040,2016-2018,Count,Thousand Nights,197,All of GB,Nights
S12000040,2015-2017,Count,Thousand Nights,115,England,Nights
S12000040,2015-2017,Count,Thousand Visits,48,England,Visits
S12000040,2015-2017,Count,million pounds (GBP),2,Scotland,Expenditure
S12000040,2013-2015,Count,Thousand Visits,135,All of GB,Visits
