FeatureCode,DateCode,Measurement,Units,Value,Tourism Activity,Breakdown of Domestic Tourism
S92000003,2019,Count,million pounds (GBP),1662,Shopping for items that you do not regularly buy,Expenditure
S92000003,2016,Count,million pounds (GBP),469,Watched live sporting events (not on TV),Expenditure
S92000003,2014,Count,million pounds (GBP),892,"Night out to a bar, pub and/or club",Expenditure
S92000003,2017,Count,million pounds (GBP),354,"Special personal events e.g. wedding, graduation",Expenditure
S92000003,2015,Count,million pounds (GBP),400,Watched live sporting events (not on TV),Expenditure
S92000003,2014,Count,million pounds (GBP),421,Watched live sporting events (not on TV),Expenditure
S92000003,2013,Count,million pounds (GBP),243,Watched live sporting events (not on TV),Expenditure
S92000003,2015,Count,million pounds (GBP),264,Leisure activities e.g. hobbies & evening classes,Expenditure
S92000003,2018,Count,million pounds (GBP),285,Leisure activities e.g. hobbies & evening classes,Expenditure
S92000003,2014,Count,million pounds (GBP),1536,Shopping for items that you do not regularly buy,Expenditure
S92000003,2018,Count,million pounds (GBP),265,"Special personal events e.g. wedding, graduation",Expenditure
S92000003,2016,Count,million pounds (GBP),261,Leisure activities e.g. hobbies & evening classes,Expenditure
S92000003,2017,Count,million pounds (GBP),421,Leisure activities e.g. hobbies & evening classes,Expenditure
S92000003,2014,Count,million pounds (GBP),469,Leisure activities e.g. hobbies & evening classes,Expenditure
S92000003,2019,Count,million pounds (GBP),476,"Sport participation, e.g. exercise classes, gym",Expenditure
S92000003,2017,Count,million pounds (GBP),374,"Sport participation, e.g. exercise classes, gym",Expenditure
S92000003,2015,Count,million pounds (GBP),392,"Special public event e.g. festival, exhibition",Expenditure
S92000003,2019,Count,million pounds (GBP),629,"Special public event e.g. festival, exhibition",Expenditure
S92000003,2014,Count,million pounds (GBP),311,"Special public event e.g. festival, exhibition",Expenditure
S92000003,2016,Count,million pounds (GBP),205,"Special public event e.g. festival, exhibition",Expenditure
S92000003,2017,Count,million pounds (GBP),394,"Special public event e.g. festival, exhibition",Expenditure
S92000003,2016,Count,million pounds (GBP),1892,Went out for a meal,Expenditure
S92000003,2014,Count,million pounds (GBP),1966,Went out for a meal,Expenditure
S92000003,2017,Count,million pounds (GBP),551,Watched live sporting events (not on TV),Expenditure
S92000003,2013,Count,million pounds (GBP),1675,Went out for a meal,Expenditure
S92000003,2019,Count,million pounds (GBP),551,Watched live sporting events (not on TV),Expenditure
S92000003,2013,Count,million pounds (GBP),228,"Special public event e.g. festival, exhibition",Expenditure
S92000003,2018,Count,million pounds (GBP),496,Watched live sporting events (not on TV),Expenditure
S92000003,2018,Count,million pounds (GBP),1538,Shopping for items that you do not regularly buy,Expenditure
S92000003,2016,Count,million pounds (GBP),273,"Special personal events e.g. wedding, graduation",Expenditure
S92000003,2017,Count,million pounds (GBP),1561,Shopping for items that you do not regularly buy,Expenditure
S92000003,2019,Count,million pounds (GBP),266,"Special personal events e.g. wedding, graduation",Expenditure
S92000003,2015,Count,million pounds (GBP),1033,Shopping for items that you do not regularly buy,Expenditure
S92000003,2014,Count,million pounds (GBP),71,"Day out to a beauty/health centre/spa, etc.",Expenditure
S92000003,2013,Count,million pounds (GBP),1512,Shopping for items that you do not regularly buy,Expenditure
S92000003,2014,Count,million pounds (GBP),223,"Special personal events e.g. wedding, graduation",Expenditure
S92000003,2016,Count,million pounds (GBP),826,"Outdoor leisure activities e.g. walking, golf",Expenditure
S92000003,2016,Count,million pounds (GBP),1380,Shopping for items that you do not regularly buy,Expenditure
