FeatureCode,DateCode,Measurement,Units,Value,Breakdown of Domestic Tourism,Age,Marital Status,Gender,Employment Status,Children,Access to Car,Social Grade
S92000003,2013,Count,Million Visits,22,Visits,45-54 years,All,All,All,All,All,All
S92000003,2013,Count,Million Visits,58,Visits,All,All,Male,All,All,All,All
S92000003,2016,Count,Million Visits,23,Visits,25-34 years,All,All,All,All,All,All
S92000003,2019,Count,Million Visits,56,Visits,All,Not Married,All,All,All,All,All
S92000003,2015,Count,Million Visits,52,Visits,All,Not Married,All,All,All,All,All
S92000003,2015,Count,Million Visits,15,Visits,45-54 years,All,All,All,All,All,All
S92000003,2018,Count,Million Visits,23,Visits,65 years and over,All,All,All,All,All,All
S92000003,2018,Count,Million Visits,59,Visits,All,Not Married,All,All,All,All,All
S92000003,2014,Count,Million Visits,73,Visits,All,Married,All,All,All,All,All
S92000003,2016,Count,Million Visits,142,Visits,All,All,All,All,All,All,All
S92000003,2017,Count,Million Visits,34,Visits,16-24 years,All,All,All,All,All,All
S92000003,2013,Count,Million Visits,19,Visits,55-64 years,All,All,All,All,All,All
S92000003,2015,Count,Million Visits,20,Visits,65 years and over,All,All,All,All,All,All
S92000003,2018,Count,Million Visits,23,Visits,55-64 years,All,All,All,All,All,All
S92000003,2017,Count,Million Visits,31,Visits,25-34 years,All,All,All,All,All,All
S92000003,2015,Count,Million Visits,73,Visits,All,Married,All,All,All,All,All
S92000003,2018,Count,Million Visits,30,Visits,25-34 years,All,All,All,All,All,All
S92000003,2017,Count,Million Visits,82,Visits,All,Married,All,All,All,All,All
S92000003,2015,Count,Million Visits,19,Visits,35-44 years,All,All,All,All,All,All
S92000003,2014,Count,Million Visits,23,Visits,65 years and over,All,All,All,All,All,All
S92000003,2013,Count,Million Visits,23,Visits,65 years and over,All,All,All,All,All,All
S92000003,2013,Count,Million Visits,18,Visits,35-44 years,All,All,All,All,All,All
S92000003,2013,Count,Million Visits,21,Visits,25-34 years,All,All,All,All,All,All
S92000003,2014,Count,Million Visits,47,Visits,All,All,All,All,All,All,AB
S92000003,2016,Count,Million Visits,42,Visits,All,All,All,All,All,All,C1
S92000003,2014,Count,Million Visits,18,Visits,45-54 years,All,All,All,All,All,All
S92000003,2018,Count,Million Visits,45,Visits,All,All,All,All,All,All,AB
