FeatureCode,DateCode,Measurement,Units,Value,Method of Travel,Breakdown of Domestic Tourism
S92000003,2018,Count,million pounds (GBP),251.8,Walked,Expenditure
S92000003,2018,Count,million pounds (GBP),1.8,Caravan/Campervan,Expenditure
S92000003,2014,Count,million pounds (GBP),97.8,Walked,Expenditure
S92000003,2017,Count,million pounds (GBP),168.8,Walked,Expenditure
S92000003,2018,Count,million pounds (GBP),193.1,Plane,Expenditure
S92000003,2015,Count,million pounds (GBP),89.4,Plane,Expenditure
S92000003,2013,Count,million pounds (GBP),36.7,Plane,Expenditure
S92000003,2016,Count,million pounds (GBP),8.3,Plane,Expenditure
S92000003,2019,Count,million pounds (GBP),205.8,Walked,Expenditure
S92000003,2014,Count,million pounds (GBP),21.8,Boat/Ship/Ferry,Expenditure
S92000003,2016,Count,million pounds (GBP),135.3,Walked,Expenditure
S92000003,2019,Count,million pounds (GBP),417.2,Bus or Coach - Regular,Expenditure
S92000003,2015,Count,million pounds (GBP),117.2,Walked,Expenditure
S92000003,2013,Count,million pounds (GBP),154.9,Walked,Expenditure
S92000003,2015,Count,million pounds (GBP),385.4,Bus or Coach - Regular,Expenditure
S92000003,2014,Count,million pounds (GBP),907.4,Train,Expenditure
S92000003,2018,Count,million pounds (GBP),192.4,Taxi,Expenditure
S92000003,2014,Count,million pounds (GBP),219.9,Taxi,Expenditure
S92000003,2015,Count,million pounds (GBP),96.1,Taxi,Expenditure
S92000003,2014,Count,million pounds (GBP),38.2,Plane,Expenditure
S92000003,2013,Count,million pounds (GBP),163.8,Taxi,Expenditure
S92000003,2019,Count,million pounds (GBP),123.5,Plane,Expenditure
S92000003,2019,Count,million pounds (GBP),224.4,Taxi,Expenditure
S92000003,2016,Count,million pounds (GBP),8.6,Bicycle,Expenditure
S92000003,2013,Count,million pounds (GBP),3.4,Bicycle,Expenditure
S92000003,2017,Count,million pounds (GBP),114.7,Plane,Expenditure
S92000003,2018,Count,million pounds (GBP),12.8,Bicycle,Expenditure
S92000003,2019,Count,million pounds (GBP),15.5,Bicycle,Expenditure
S92000003,2016,Count,million pounds (GBP),277.5,Taxi,Expenditure
